started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-07-01 07:10:02.815000+00:00,2021-07-01 07:17:59.127000+00:00,476,1823,Boroughmuir,Off Gibson Terrace,55.94007146917616,-3.215335840688084,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467
2021-07-01 07:15:35.367000+00:00,2021-07-01 07:38:19.603000+00:00,1364,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1017,Crichton Street,East end of street,55.94478427951007,-3.186906245433761
2021-07-01 07:20:52.826000+00:00,2021-07-01 08:00:11.014000+00:00,2358,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704
2021-07-01 07:26:21.871000+00:00,2021-07-01 07:43:52.276000+00:00,1050,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467,1763,Comely Bank Road,Outside Raeburn Place Sports Ground,55.95941012836135,-3.2156613606136943
2021-07-01 07:30:51.311000+00:00,2021-07-01 08:28:49.368000+00:00,3478,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2021-07-01 07:34:06.384000+00:00,2021-07-01 07:42:04.398000+00:00,478,1821,Drumsheugh Place,Corner with Drumsheugh Gardens,55.95159412232485,-3.2123542850940225,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956
2021-07-01 07:40:14.957000+00:00,2021-07-01 07:53:07.287000+00:00,772,1765,Haymarket Terrace,Corner of Magdala Crescent,55.946063966641006,-3.2230240243595745,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956
2021-07-01 07:42:59.341000+00:00,2021-07-01 07:49:48.780000+00:00,409,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-07-01 07:43:18.877000+00:00,2021-07-01 07:54:55.483000+00:00,696,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993
2021-07-01 07:44:26.282000+00:00,2021-07-01 08:09:04.621000+00:00,1478,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,254,Kings Building 3,Kings Building House,55.923478807846635,-3.1753845849070785
2021-07-01 07:47:41.330000+00:00,2021-07-01 08:00:52.256000+00:00,790,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258,250,Victoria Quay,Entrance to Scottish Government Office,55.977617152546344,-3.1741263194576277
2021-07-01 07:49:28.816000+00:00,2021-07-01 08:06:26.842000+00:00,1018,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864
2021-07-01 08:00:08.406000+00:00,2021-07-01 08:13:45.226000+00:00,816,1017,Crichton Street,East end of street,55.94478427951007,-3.186906245433761,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298
2021-07-01 08:00:22.591000+00:00,2021-07-01 08:14:59.632000+00:00,877,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818,253,Kings Building 2,Sanderson Building,55.92320215516664,-3.1716462453634904
2021-07-01 08:00:41.457000+00:00,2021-07-01 08:12:20.278000+00:00,698,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333
2021-07-01 08:01:24.677000+00:00,2021-07-01 08:03:22.514000+00:00,117,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2021-07-01 08:03:33.071000+00:00,2021-07-01 08:49:11.693000+00:00,2738,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874,250,Victoria Quay,Entrance to Scottish Government Office,55.977617152546344,-3.1741263194576277
